name,brand,imglink
A,A,http://itemimage.cjmall.com/goods_images/35/060/35386060J.jpg
B,B,http://itemimage.cjmall.com/goods_images/35/046/35170046J.jpg
C,C,http://itemimage.cjmall.com/goods_images/35/130/35170130J.jpg
D,D,http://itemimage.cjmall.com/goods_images/35/221/35170221J.jpg
E,E,http://itemimage.cjmall.com/goods_images/34/026/34982026J.jpg
F,F,http://itemimage.cjmall.com/goods_images/34/014/34982014J.jpg
G,G,http://itemimage.cjmall.com/goods_images/34/004/34982004J.jpg
H,H,http://itemimage.cjmall.com/goods_images/34/996/34981996J.jpg
I,I,http://itemimage.cjmall.com/goods_images/34/947/34471947J.jpg
J,J,http://itemimage.cjmall.com/goods_images/34/816/34461816J.jpg
K,K,http://itemimage.cjmall.com/goods_images/34/748/34461748J.jpg
L,L,http://itemimage.cjmall.com/goods_images/34/572/34461572J.jpg
M,M,http://itemimage.cjmall.com/goods_images/34/442/34399442J.jpg
N,N,http://itemimage.cjmall.com/goods_images/34/531/34257531J.jpg
O,O,http://itemimage.cjmall.com/goods_images/34/425/34257425J.jpg
P,P,http://itemimage.cjmall.com/goods_images/33/964/33883964J.jpg
Q,Q,http://itemimage.cjmall.com/goods_images/33/727/33883727J.jpg
R,R,http://itemimage.cjmall.com/goods_images/33/603/33883603J.jpg
S,S,http://itemimage.cjmall.com/goods_images/33/211/33883211J.jpg
T,T,http://itemimage.cjmall.com/goods_images/33/814/33882814J.jpg
U,U,http://itemimage.cjmall.com/goods_images/33/909/33532909J.jpg
V,V,http://itemimage.cjmall.com/goods_images/33/662/33508662J.jpg
W,W,http://itemimage.cjmall.com/goods_images/33/381/33294381J.jpg
X,X,http://itemimage.cjmall.com/goods_images/32/912/32984912J.jpg
Y,Y,http://itemimage.cjmall.com/goods_images/32/849/32984849J.jpg
Z,Z,http://itemimage.cjmall.com/goods_images/32/636/32984636J.jpg
